iter	Passed	Remaining
0	144	144206
1	145	72804
2	147	49015
3	149	37274
4	151	30086
5	152	25249
6	154	21894
7	156	19389
8	158	17441
9	160	15884
10	163	14700
11	165	13617
12	166	12672
13	169	11914
14	170	11190
15	171	10547
16	173	10035
17	174	9544
18	175	9080
19	177	8712
20	180	8392
21	182	8124
22	185	7869
23	186	7578
24	188	7332
25	189	7095
26	190	6862
27	191	6659
28	193	6464
29	193	6268
30	194	6086
31	195	5909
32	196	5743
33	197	5621
34	198	5485
35	199	5342
36	200	5206
37	200	5077
38	201	4964
39	201	4846
40	202	4737
41	203	4641
42	204	4550
43	205	4458
44	205	4370
45	206	4289
46	207	4211
47	208	4131
48	209	4057
49	209	3987
50	210	3919
51	211	3854
52	212	3791
53	212	3729
54	213	3667
55	214	3608
56	214	3551
57	215	3499
58	216	3447
59	216	3396
60	217	3346
61	217	3297
62	218	3250
63	219	3204
64	219	3160
65	220	3116
66	220	3074
67	221	3034
68	222	2997
69	222	2959
70	223	2921
71	223	2885
72	224	2849
73	224	2814
74	225	2781
75	226	2748
76	226	2716
77	227	2684
78	227	2654
79	228	2626
80	228	2597
81	229	2569
82	229	2538
83	230	2511
84	230	2485
85	231	2459
86	231	2434
87	232	2408
88	233	2385
89	233	2361
90	234	2338
91	234	2317
92	235	2296
93	236	2275
94	236	2254
95	237	2233
96	237	2212
97	238	2192
98	238	2172
99	239	2152
100	239	2134
101	240	2116
102	241	2099
103	241	2083
104	242	2065
105	242	2048
106	243	2031
107	243	2014
108	244	1997
109	244	1981
110	245	1966
111	245	1950
112	246	1935
113	247	1920
114	247	1906
115	248	1892
116	248	1877
117	249	1863
118	249	1849
119	250	1835
120	250	1822
121	251	1808
122	251	1795
123	252	1782
124	252	1769
125	253	1758
126	254	1746
127	254	1735
128	255	1723
129	255	1712
130	256	1700
131	256	1689
132	257	1678
133	257	1667
134	258	1656
135	259	1645
136	259	1634
137	260	1625
138	260	1615
139	261	1605
140	261	1595
141	262	1584
142	262	1574
143	263	1565
144	263	1556
145	264	1546
146	264	1537
147	265	1528
148	265	1519
149	266	1511
150	267	1503
151	267	1494
152	268	1487
153	269	1479
154	269	1471
155	270	1463
156	271	1455
157	271	1447
158	272	1439
159	272	1431
160	273	1423
161	273	1416
162	274	1408
163	274	1401
164	275	1394
165	276	1386
166	276	1379
167	277	1371
168	277	1364
169	278	1357
170	278	1350
171	279	1344
172	280	1338
173	280	1332
174	281	1325
175	281	1319
176	282	1313
177	283	1307
178	283	1300
179	284	1294
180	284	1287
181	285	1281
182	285	1275
183	286	1270
184	286	1264
185	287	1258
186	288	1252
187	288	1246
188	289	1240
189	289	1234
190	290	1228
191	290	1223
192	291	1217
193	291	1212
194	292	1207
195	293	1202
196	293	1196
197	294	1192
198	294	1186
199	295	1181
200	296	1177
201	296	1172
202	297	1167
203	298	1163
204	299	1159
205	299	1155
206	300	1151
207	301	1146
208	301	1141
209	302	1136
210	302	1132
211	303	1127
212	303	1122
213	304	1118
214	305	1113
215	305	1109
216	306	1105
217	306	1100
218	307	1096
219	307	1091
220	308	1087
221	309	1083
222	309	1078
223	310	1074
224	310	1070
225	311	1066
226	312	1062
227	312	1058
228	313	1054
229	313	1050
230	314	1046
231	314	1042
232	315	1038
233	315	1034
234	316	1029
235	316	1025
236	317	1022
237	318	1018
238	318	1014
239	319	1011
240	319	1007
241	320	1003
242	320	999
243	321	996
244	322	992
245	322	988
246	323	985
247	323	981
248	324	978
249	325	975
250	325	971
251	326	968
252	326	964
253	327	960
254	327	957
255	328	953
256	328	950
257	329	947
258	329	943
259	330	940
260	331	937
261	331	934
262	332	931
263	332	927
264	333	924
265	333	921
266	334	918
267	334	914
268	335	911
269	335	908
270	336	905
271	337	902
272	337	899
273	338	896
274	338	893
275	339	890
276	340	887
277	340	884
278	341	881
279	341	878
280	342	875
281	342	872
282	343	869
283	343	867
284	344	864
285	345	861
286	345	859
287	346	856
288	346	853
289	347	850
290	348	847
291	348	845
292	349	842
293	349	839
294	350	837
295	350	834
296	351	832
297	352	829
298	352	827
299	353	824
300	353	821
301	354	818
302	354	816
303	355	813
304	355	810
305	356	808
306	356	805
307	357	803
308	358	800
309	358	798
310	359	795
311	359	793
312	360	790
313	360	788
314	361	785
315	361	783
316	362	780
317	362	778
318	363	776
319	364	773
320	364	771
321	365	768
322	365	766
323	366	763
324	366	761
325	367	759
326	367	756
327	368	754
328	368	752
329	369	750
330	370	748
331	370	745
332	371	743
333	371	741
334	372	739
335	372	736
336	373	734
337	374	732
338	374	730
339	375	728
340	375	726
341	376	724
342	377	722
343	377	720
344	378	718
345	378	716
346	379	714
347	379	711
348	380	709
349	380	707
350	381	705
351	382	703
352	382	701
353	383	699
354	383	697
355	384	695
356	384	693
357	385	691
358	385	689
359	386	687
360	386	684
361	387	682
362	388	681
363	388	679
364	389	677
365	389	675
366	390	673
367	391	671
368	391	669
369	392	667
370	392	665
371	393	663
372	393	661
373	394	660
374	395	658
375	395	656
376	396	654
377	396	652
378	397	651
379	397	649
380	398	647
381	398	645
382	399	643
383	399	641
384	400	639
385	401	638
386	401	636
387	402	634
388	403	633
389	403	631
390	404	629
391	404	627
392	405	625
393	405	623
394	406	622
395	406	620
396	407	618
397	408	617
398	408	615
399	409	613
400	409	612
401	410	610
402	410	608
403	411	606
404	411	605
405	412	603
406	412	601
407	413	599
408	414	598
409	414	596
410	415	595
411	415	593
412	416	591
413	416	590
414	417	588
415	418	586
416	418	585
417	419	583
418	419	581
419	420	580
420	420	578
421	421	577
422	422	575
423	422	574
424	423	572
425	423	570
426	424	569
427	424	567
428	425	565
429	425	564
430	426	562
431	427	561
432	427	560
433	428	558
434	428	556
435	429	555
436	429	553
437	430	552
438	430	550
439	431	549
440	431	547
441	432	546
442	433	544
443	433	543
444	434	541
445	434	540
446	435	538
447	436	537
448	436	535
449	437	534
450	437	532
451	438	531
452	438	529
453	439	528
454	439	526
455	440	525
456	440	523
457	441	522
458	441	520
459	442	519
460	442	517
461	443	516
462	443	514
463	444	513
464	444	511
465	445	510
466	446	509
467	446	507
468	447	506
469	447	505
470	448	503
471	449	502
472	449	500
473	450	499
474	450	498
475	451	496
476	451	495
477	452	493
478	452	492
479	453	491
480	454	489
481	454	488
482	455	487
483	455	485
484	456	484
485	456	482
486	457	481
487	457	480
488	458	478
489	458	477
490	459	476
491	460	475
492	460	473
493	461	472
494	461	471
495	462	469
496	462	468
497	463	467
498	463	465
499	464	464
500	464	463
501	465	461
502	466	460
503	466	459
504	467	458
505	467	456
506	468	455
507	468	454
508	469	452
509	469	451
510	470	450
511	470	448
512	471	447
513	472	446
514	473	445
515	473	444
516	474	443
517	474	441
518	475	440
519	475	439
520	476	438
521	476	436
522	477	435
523	478	434
524	478	433
525	479	431
526	479	430
527	480	429
528	480	428
529	481	426
530	481	425
531	482	424
532	483	423
533	483	421
534	484	420
535	484	419
536	485	418
537	486	417
538	486	416
539	487	415
540	487	413
541	488	412
542	488	411
543	489	410
544	490	409
545	490	407
546	491	406
547	491	405
548	492	404
549	493	403
550	493	402
551	494	400
552	494	399
553	495	398
554	495	397
555	496	396
556	496	395
557	497	393
558	497	392
559	498	391
560	499	390
561	499	389
562	500	388
563	500	387
564	501	385
565	501	384
566	502	383
567	502	382
568	503	381
569	504	380
570	504	379
571	505	378
572	505	377
573	506	375
574	506	374
575	507	373
576	508	372
577	508	371
578	509	370
579	509	369
580	510	368
581	511	367
582	511	365
583	512	364
584	512	363
585	513	362
586	513	361
587	514	360
588	514	359
589	515	358
590	515	356
591	516	355
592	517	354
593	517	353
594	518	352
595	518	351
596	519	350
597	519	349
598	520	348
599	520	347
600	521	346
601	521	345
602	522	343
603	523	343
604	523	342
605	524	341
606	525	340
607	525	339
608	526	338
609	527	337
610	528	336
611	528	335
612	529	334
613	530	333
614	530	332
615	531	331
616	532	330
617	532	329
618	533	328
619	533	327
620	534	326
